width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
320,0.85,0,21,16834,True,248.6,4,244,244,4.6,1,
320,0.85,0,22,16523,True,438.8,4,435,435,3.8,0,
320,0.85,0,23,17251,True,255.0,4,251,251,4.0,0,
320,0.85,0,24,16250,True,267.3,4,263,263,4.3,0,
320,0.85,0,25,16993,True,270.0,2,267,267,3.0,0,
320,0.85,0,26,16743,True,255.0,5,250,250,5.0,0,
320,0.85,0,27,15864,True,259.2,5,255,255,4.2,0,
320,0.85,0,28,16513,True,306.1,5,302,302,4.1,0,
320,0.85,0,29,15648,True,248.4,2,245,245,3.4,0,
320,0.85,0,30,15423,True,252.9,5,248,248,4.9,0,
320,0.85,0,31,13983,True,248.0,5,244,244,4.0,0,
320,0.85,0,32,15034,True,399.1,4,395,395,4.1,1,
320,0.85,0,33,13204,True,248.6,2,246,246,2.6,1,
320,0.85,0,34,13457,True,239.2,4,236,236,3.2,1,
320,0.85,0,35,13274,True,241.1,3,238,238,3.1,1,
320,0.85,0,36,13138,True,247.7,2,245,245,2.7,1,
320,0.85,0,37,12684,True,259.2,4,256,256,3.2,1,
320,0.85,0,38,12494,True,248.6,2,246,246,2.6,1,
320,0.85,0,39,12845,True,246.4,2,244,244,2.4,1,
320,0.85,0,40,12506,True,249.5,2,247,247,2.5,1,
320,0.85,0,41,13123,True,259.7,2,257,257,2.7,1,
320,0.85,0,42,12820,True,250.4,4,247,247,3.4,1,
320,0.85,0,43,13138,True,246.2,5,242,242,4.2,2,
320,0.85,0,44,13091,True,256.4,2,254,254,2.4,1,
320,0.85,0,45,13705,True,244.3,4,240,240,4.3,1,
320,0.85,0,46,13348,True,247.8,5,243,243,4.8,1,
320,0.85,0,47,13517,True,249.9,2,247,247,2.9,1,
320,0.85,0,48,13690,True,254.3,2,251,251,3.3,1,
320,0.85,0,49,13682,True,240.0,2,237,237,3.0,0,
320,0.85,0,50,14414,True,246.0,4,242,242,4.0,0,
320,0.85,0,51,14834,True,243.3,3,240,240,3.3,0,
